Type,Code,Repositories
MIT License,86466129,1125
Apache License,132471219,498
GPLv3,5992034,833
BSD 2-clause,1606857,37
BSD 3-clause,7098749,43
GPLv2,32138069,213
GPLv2.1,30865749,10
LGPLv2.1,1024847,8
LGPLv3,2682248,68
Mozilla Public License,29244773,31
The Unilicense,110,0
Boost Software,64011467,6
Pre-Release,1552047,25
CC0-1.0,131448,36
CC-BY-4,194154,297
CC-BY-SA-4,43448,147
retain the above copyright,65091946,18
without modification,94863919,292
with or without modification,62574024,69
without warranty,190535416,167
reproduce and distribute copies,6047922,11
Proprietary and confidential,14440999,4
All rights reserved,166224689,783
Unauthorized copying strictly prohibited,170198,2
